价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2530,15,15623-C,3室1卫,2/6层,朝阳区,管庄,东会新村,地铁：距八通线管庄站150米
1560,12,33377-A,4室1卫,6/6层,顺义区,俸伯,滨河小区,地铁：距15号线俸伯站1600米
2250,17,384-B,3室1卫,2/6层,通州区,果园,达富苑,地铁：距八通线果园站250米
3820,18,70248-B,2室1卫,3/6层,朝阳区,酒仙桥,北窑地,地铁：距12号线酒仙桥站950米
1900,10,77882-B,3室1卫,13/23层,通州区,临河里,华业东方玫瑰,地铁：距八通线临河里站650米
2670,12,9406-B,3室1卫,7/20层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2700,11,114623-B,3室1卫,26/30层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
2620,14,119176-C,4室1卫,1/11层,朝阳区,肖村,中海城香克林,地铁：距亦庄线肖村站550米
2840,13,69232-A,2室1卫,23/24层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米
2050,14,11244-B,3室1卫,6/6层,通州区,果园,怡乐北街小区,地铁：距八通线果园站600米
2760,13,133915-B,3室1卫,1/10层,丰台区,公益西桥,城南嘉园益明园,地铁：距4号线大兴线公益西桥站300米
3420,13,140640-B,3室1卫,18/25层,朝阳区,四惠,力源里,"地铁：距1号线,八通线四惠站250米"
,,,,,,,,
2840,12,149092-C,3室1卫,3/6层,丰台区,角门东,角门东里,地铁：距10号线角门东站400米
2780,16,150881-B,3室1卫,17/25层,石景山区,杨庄,杨庄北区,地铁：距6号线杨庄站550米
2520,9,20703-E,5室1卫,5/22层,丰台区,角门东,金胜嘉谊家园,地铁：距10号线角门东站700米
2540,7,24204-B,2室1卫,4/6层,东城区,广渠门外,广渠门外大街,"地铁：距7号线,17号线广渠门外站450米"
2820,13,25384-A,3室1卫,18/25层,朝阳区,清河营,东洲家园,地铁：距13号线北苑站2300米
3360,22,37424-B,2室1卫,1/6层,朝阳区,管庄,管庄西里,地铁：距八通线管庄站1050米
1450,7,39786-C,4室1卫,5/6层,昌平区,昌平,安福苑,地铁：距昌平线昌平站900米
,,,,,,,,
2740,12,58586-A,3室1卫,4/18层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
2100,8,5683-A,3室1卫,16/16层,丰台区,新宫,德鑫嘉园二期,"地铁：距4号线大兴线,19号线新宫站700米"
2300,10,6294-B,3室1卫,19/29层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
,,,,,,,,
1880,12,78899-B,2室1卫,8/25层,门头沟区,栗园庄,惠润嘉园,地铁：距S1线栗园庄站300米
,,,,,,,,
3300,18,12043-C,3室1卫,17/24层,朝阳区,十里堡,京棉新城,地铁：距6号线十里堡站700米
2570,12,11507-F,6室2卫,6/6层,丰台区,六里桥,精图小区56号院,"地铁：距9号线,10号线六里桥站1250米"
2720,12,138819-B,3室1卫,7/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2080,13,140443-B,2室1卫,20/28层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
3760,16,149074-A,2室1卫,1/6层,海淀区,永泰庄,永泰园,地铁：距8号线永泰庄站600米
3140,9,149074-B,2室1卫,1/6层,海淀区,永泰庄,永泰园,地铁：距8号线永泰庄站600米
2070,10,151664-A,2室1卫,4/6层,丰台区,和义,和义东里五区,地铁：距8号线南段和义站50米
2250,12,152278-C,3室1卫,16/27层,通州区,次渠,次渠家园北里1区,"地铁：距亦庄线,17号线次渠站1550米"
,,,,,,,,
3280,14,152683-C,3室1卫,2/6层,朝阳区,十里堡,八里庄北里1号院,地铁：距6号线十里堡站100米
2370,16,12983-B,4室1卫,5/25层,石景山区,杨庄,地铁古城家园,"地铁：距1号线,6号线苹果园站1300米"
2740,10,25625-C,3室1卫,4/6层,海淀区,农大南路,万树园,地铁：距16号线农大南路站850米
2520,12,30011-A,3室1卫,9/28层,朝阳区,小红门,鸿博家园二期D区,地铁：距亦庄线小红门站450米
2440,13,32022-C,3室1卫,13/22层,朝阳区,双合,建工双合家园,地铁：距7号线双合站350米
3990,30,11598-A,3室1卫,8/31层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
2400,11,12069-C,4室1卫,9/15层,昌平区,回龙观东大街,紫金新干线一期,地铁：距8号线回龙观东大街站1350米
3690,27,149022-A,2室1卫,2/6层,石景山区,八宝山,鲁谷村,地铁：距1号线八宝山站750米
2030,11,150862-C,3室1卫,4/6层,顺义区,石门,西辛南区,地铁：距15号线石门站450米
2630,9,150117-C,3室1卫,3/18层,朝阳区,立水桥南,溪城家园,地铁：距5号线立水桥南站1100米
2700,16,152632-B,2室1卫,23/24层,昌平区,昌平,新新公寓,地铁：距昌平线昌平站400米
1610,11,27019-A,3室1卫,1/10层,房山区,广阳城,原香小镇一区,地铁：距房山线广阳城站2050米
3830,23,25299-B,2室1卫,1/29层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
3820,20,28308-B,5室1卫,3/8层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
3100,14,3191-C,4室1卫,8/34层,昌平区,龙泽,融泽嘉园新2号院,地铁：距13号线龙泽站1150米
2840,24,4519-B,4室1卫,6/6层,朝阳区,垡头,垡头翠城馨园东区,地铁：距7号线垡头站100米
,,,,,,,,
2860,10,80239-C,3室1卫,2/11层,丰台区,公益西桥,城南嘉园益明园,地铁：距4号线大兴线公益西桥站300米
,,,,,,,,
2440,10,149525-A,3室1卫,3/6层,朝阳区,垡头,垡头西里,地铁：距7号线欢乐谷景区站1150米
2390,10,149207-C,3室1卫,13/28层,海淀区,玉泉路,兆丰园,地铁：距1号线玉泉路站1850米
2330,15,150333-B,2室1卫,9/20层,通州区,北运河西,合生滨江帝景二期,地铁：距6号线北运河西站1650米
2500,6,148484-B,2室1卫,3/5层,朝阳区,四惠东,甘露园西里,"地铁：距1号线,八通线四惠东站900米"
3560,30,150747-B,3室1卫,2/4层,大兴区,旧宫,德林园,地铁：距亦庄线旧宫站750米
3310,12,152112-B,3室1卫,11/27层,朝阳区,青年路,国美第一城3号院,地铁：距6号线青年路站1200米
2740,20,32673-A,2室1卫,4/6层,石景山区,金安桥,模式口南里,"地铁：距1号线,6号线苹果园站1500米"
2090,9,586-A,5室1卫,1/6层,昌平区,天通苑,天通苑北三区,地铁：距5号线天通苑站1700米
3350,10,70248-A,2室1卫,3/6层,朝阳区,酒仙桥,北窑地,地铁：距12号线酒仙桥站950米
,,,,,,,,
